timestamp,USD_Index,Gold,Oil,Fin_ETF,Tech_ETF,Util_ETF,TBill_13w,TNote_10y,VIX
2017-03-08,102.06999969482422,115.05999755859375,85.36000061035156,21.12882423400879,48.304969787597656,38.90279006958008,0.7080000042915344,2.552000045776367,11.859999656677246
2017-03-09,101.8499984741211,114.47000122070312,84.23999786376953,21.205751419067383,48.295833587646484,38.81829071044922,0.7129999995231628,2.5980000495910645,12.300000190734863
2017-03-14,101.69999694824219,114.12000274658203,81.5199966430664,21.180105209350586,48.487815856933594,39.21769714355469,0.753000020980835,2.5950000286102295,12.300000190734863
2017-03-20,100.41000366210938,117.51000213623047,82.16000366210938,20.800966262817383,48.99576187133789,39.38417434692383,0.7099999785423279,2.4730000495910645,11.34000015258789
2017-03-21,99.80999755859375,118.54000091552734,80.87999725341797,20.217683792114258,48.27995300292969,39.941383361816406,0.753000020980835,2.436000108718872,12.470000267028809
2017-03-23,99.76000213623047,118.66999816894531,80.08000183105469,20.217683792114258,48.45431137084961,40.011043548583984,0.7480000257492065,2.4179999828338623,13.119999885559082
2017-04-06,100.66999816894531,119.18000030517578,86.87999725341797,20.260576248168945,48.72043991088867,39.949127197265625,0.7879999876022339,2.3429999351501465,12.390000343322754
2017-04-13,100.55999755859375,122.5999984741211,89.04000091552734,19.642976760864258,48.059696197509766,39.99555969238281,0.7900000214576721,2.2320001125335693,15.960000038146973
2017-04-25,98.81999969482422,120.25,82.87999725341797,20.492170333862305,49.628963470458984,40.18904113769531,0.8080000281333923,2.3269999027252197,10.760000228881836
2017-04-28,99.05000305175781,120.7699966430664,81.91999816894531,20.183372497558594,49.90427017211914,40.011043548583984,0.7799999713897705,2.2820000648498535,10.819999694824219
2017-05-01,99.13999938964844,119.66999816894531,81.19999694824219,20.312042236328125,50.28052520751953,39.77112579345703,0.7850000262260437,2.325000047683716,10.109999656677246
2017-05-02,98.9800033569336,119.6500015258789,79.36000061035156,20.28630828857422,50.390647888183594,39.817562103271484,0.8429999947547913,2.2960000038146973,10.59000015258789
2017-05-03,99.20999908447266,117.9800033569336,79.44000244140625,20.44927978515625,50.29888153076172,39.67826461791992,0.8479999899864197,2.309000015258789,10.680000305175781
2017-05-04,98.76000213623047,116.79000091552734,75.68000030517578,20.483591079711914,50.26218032836914,39.817562103271484,0.8550000190734863,2.3559999465942383,10.460000038146973
2017-05-05,98.6500015258789,117.01000213623047,77.27999877929688,20.44927978515625,50.44570541381836,40.03425598144531,0.8679999709129333,2.3519999980926514,10.569999694824219
2017-05-08,99.1500015258789,116.75,77.36000061035156,20.43212127685547,50.66596603393555,40.018775939941406,0.8700000047683716,2.375999927520752,9.770000457763672
2017-05-09,99.58999633789062,116.05000305175781,76.55999755859375,20.354923248291016,50.730194091796875,39.72469711303711,0.8899999856948853,2.4070000648498535,9.960000038146973
2017-05-10,99.66999816894531,116.04000091552734,78.87999725341797,20.423547744750977,50.92290115356445,39.78660202026367,0.875,2.4140000343322754,10.210000038146973
2017-05-11,99.62000274658203,116.5,79.5199966430664,20.294878005981445,50.85867691040039,39.84077072143555,0.8600000143051147,2.4000000953674316,10.600000381469727
2017-05-12,99.25,116.83000183105469,79.5999984741211,20.209104537963867,50.98715591430664,40.03425598144531,0.8550000190734863,2.3350000381469727,10.399999618530273
2017-05-15,98.91000366210938,117.13999938964844,81.36000061035156,20.363508224487305,51.271636962890625,40.20451354980469,0.8629999756813049,2.3380000591278076,10.420000076293945
2017-05-16,98.11000061035156,117.6500015258789,80.87999725341797,20.423547744750977,51.51023864746094,39.91041946411133,0.8899999856948853,2.3289999961853027,10.649999618530273
2017-05-17,97.41999816894531,119.79000091552734,81.5199966430664,19.78021812438965,50.106163024902344,40.011043548583984,0.875,2.2160000801086426,15.59000015258789
2017-05-18,97.87999725341797,118.80999755859375,82.08000183105469,19.857419967651367,50.399837493896484,40.15032958984375,0.8930000066757202,2.2330000400543213,14.65999984741211
2017-05-19,97.1500015258789,119.4000015258789,83.83999633789062,20.028974533081055,50.69348907470703,40.30512619018555,0.8880000114440918,2.244999885559082,12.039999961853027
2017-05-22,96.9800033569336,119.9000015258789,84.31999969482422,20.08043670654297,51.09727478027344,40.653377532958984,0.878000020980835,2.253999948501587,10.930000305175781
2017-05-23,97.3499984741211,119.13999938964844,85.12000274658203,20.23483657836914,51.18903732299805,40.76171875,0.9129999876022339,2.2850000858306885,10.720000267028809
2017-05-24,97.23999786376953,119.61000061035156,84.80000305175781,20.226253509521484,51.400108337402344,40.993896484375,0.9049999713897705,2.2660000324249268,10.020000457763672
2017-05-25,97.25,119.4800033569336,80.31999969482422,20.260576248168945,51.76719284057617,41.326683044433594,0.9079999923706055,2.255000114440918,9.989999771118164
2017-05-26,97.4000015258789,120.54000091552734,82.23999786376953,20.25199317932129,51.73965072631836,41.326683044433594,0.9100000262260437,2.25,9.8100004196167
2017-05-30,97.27999877929688,120.13999938964844,81.91999816894531,20.114748001098633,51.95991516113281,41.458248138427734,0.9100000262260437,2.2170000076293945,10.380000114440918
2017-05-31,96.91999816894531,120.62000274658203,79.68000030517578,19.943195343017578,51.87731170654297,41.667205810546875,0.949999988079071,2.196000099182129,10.40999984741211
2017-06-01,97.19999694824219,120.72000122070312,79.27999877929688,20.19194793701172,52.00579833984375,41.961280822753906,0.9480000138282776,2.2170000076293945,9.890000343322754
2017-06-02,96.72000122070312,121.61000061035156,78.87999725341797,20.114748001098633,52.482994079589844,42.007720947265625,0.953000009059906,2.1589999198913574,9.75
